cities,latitude,longitude,temperature,humidity,cloudiness,wind_speed
Vieques,18.43,-65.83,77.0,83,20,3.36
Vila Velha,-3.71,-38.6,80.6,83,40,3.36
Vilhena,-12.74,-60.15,68.41,93,0,1.83
Vitina,41.43,24.76,51.8,87,40,2.55
Vostok,46.45,135.83,35.38,37,48,3.06
Wagar,31.44,-87.99,55.45,53,20,3.85
Wahiawa,21.5,-158.02,77.56,94,90,14.99
Waingapu,-9.65,120.26,87.58,70,8,6.31
Wajima,37.4,136.9,55.4,93,75,2.24
Wanaka,-44.7,169.14,51.49,93,68,2.55
Wawa,9.9,4.41,74.44,77,36,5.01
Weilerswist,50.76,6.84,33.21,81,40,2.24
Westport,53.8,-9.52,44.6,100,90,13.87
Whitehorse,60.72,-135.06,24.8,35,40,11.41
Yabrud,33.97,36.66,53.6,25,0,3.36
Yalvac,38.3,31.18,51.31,74,0,2.89
Yar-Sale,66.83,70.83,-3.68,91,8,6.64
Yelizovo,53.19,158.38,33.8,100,90,8.95
Yellowknife,62.45,-114.38,3.2,71,5,5.82
Yerbogachen,61.28,108.01,25.66,74,76,7.25
Yining,29.04,114.56,54.19,61,48,10.11
Yizheng,24.67,103.43,50.95,64,56,14.14
Yueyang,29.36,113.12,58.6,72,56,15.97
Yulara,-25.24,130.99,91.4,11,0,11.41
Zhezkazgan,47.8,67.71,46.4,94,90,13.42
Zhigansk,66.77,123.37,22.96,59,24,0.6
Zlobin,45.29,14.65,55.4,58,0,5.82
Zyryanka,65.73,150.89,30.43,69,0,5.64
